,username,comment,rating,strain_id,commnet_polarity,comment_subjectivity,hybrid,sativa,indica,thc_percent,cbd_percent,avg_subjectivity,avg_polarity,avg_rating,cooking_time_min,is_desert,oven_percentage_power,percent_serving_weight_weed_ingredient,uses_butter,uses_oil,condition,relief
0,CannabisKook,"Friends, stoners, red-eyed countrymen, lend me your ears; for I bring unto thee a tale of the Blue Dream...  Tâ€™was a calm April night, 2014 it was, and I had eagerly purchased an eighth of some pungent Blue Dream. Itâ€™s abundance of sugary trichomes, paired with the thick density of the bud was enough to bring a tear to your eye. I enthusiastically ground up the cheeba, packed a generous bowl and went to town. Eight minutes and a bowl later, I was beginning to assume that my herb wasnâ€™t all that strongâ€_but then it hit me like a 150-ton locomotive of euphoria.  â€œWhoooaâ€ù was the only thing that I could say, as I looked at everything around the living room. Everything looked as if it were lagging behind by a few frames, and this cerebral adventure lasted for the first few minutesâ€_but just when I thought that Blue Dream had shown me everything there was to experience about her, her sativa effects began to kick in.  All of a sudden, I felt as if I was briskly cruising on a warm cloud, which was followed by an amazing burst of energy. Folks let me tell you, if youâ€™d ever like to find out how an eagle feels when it spreads its majestic wings and takes to the air at 80 mph., this strain is a kickass tool to take you there. Finally, when all of your euphoric energy has been expended, Blue Dream ends her experience with a mellow cruise induced by her indica side.  Call in at Jimmy Johnâ€™s and order 12 sandwiches, fire up Netflix, and take it easy on the couch until you slowly begin to melt into the furniture, because you're going to start to drift off into your happy place; and as soon as you reach that critical point of relaxation, youâ€™re going to sleep like a sloth on twelve doses of Ambien.  Folks, I guess the moral of the story here is that Blue Dream is an outstanding and pleasurable strain that is fun for cannabis enthusiasts anywhere on the experience spectrum; from the novice user who is looking to have an easy-going yet memorable experience, to the seasoned smoker who owns a laser pointer and a cat, and anybody in between; but my review alone canâ€™t depict the exquisite effects that Blue Dream has to offer. Roll up a liberal amount of Blue Dream, spark it up, and let her take you on a spectacular trip; youâ€™ll be thankful you did when your mind is blissfully floating through the heavens.",5,blue-dream,0.15268817204301072,0.48924731182795694,True,False,False,0.2862514847268811,0.0032218850323931887,0.8332623357243888,0.1861067113060404,0.9801197103806666,158,False,0.7202396771219489,0.08951574137025314,False,True,muscle_spasms,False
1,wiseoldman,"I consider this strain perfect for my psychological problems. almost every other weed with this high sativa content seems to cause extreme paranoia but nothing at all like. i felt completely free and loving and more compasionate about myself than i ever have. i have always had an extremely low self esteem and even though i knew that during the experience my depression was lifted enough for me to easily cope with it. I have complex ptds from 25 years of emotional abuse from my mother and neglect from my father. and i felt more relaxed and compassionate about myself any every other person and i knew i had that in there. recomended for anyone that has extreme emotions disturbances about things that happend during your life. not recomended for medical conditions such pchizophrenia obsessive compulsive disorder bi-polasr disorder or anything along thouse lines. not depression though, it eased my depression which had readched a level were i was on suicide watch for 3 years. this strain made my happier and have a more controlled perspective on life while enjoying myself than any other strain ever. deffinately by far my favorite",5,blue-dream,0.18557971014492758,0.5999275362318841,True,False,False,0.2862514847268811,0.0032218850323931887,0.8332623357243888,0.1861067113060404,0.9801197103806666,34,True,0.7294912843805732,0.1827018638103802,False,True,cramps,True
2,Free_Byrd,"The &quot;Bayer&quot; aspirin of bud that should be in every medicine cabinet. Smoking is slightly blueberry and harsher then expected. Vaporized it's smooth and has a perk up and get er done benefit. Nice well rounded, daytime medication that is not sedating.",5,blue-dream,0.18333333333333335,0.5166666666666666,True,False,False,0.2862514847268811,0.0032218850323931887,0.8332623357243888,0.1861067113060404,0.9801197103806666,158,False,0.995392018865588,0.0959717207753511,False,True,spasticity,True
3,surfzen88,"So many have reviewed this strain, but I'll add my two cents for medical patients like myself. Blue Dream is Numero Uno. It is the best! Blue Dream is everything I've wanted out of my medical cannabis experience. I'm a sensitive type and I don't like to be high. I have migraines and anxiety for which I want to reduce prescription medication use. BD has allowed me to do that. Honestly, before Blue Dream, I had just about given up on cannabis as medicine because I'd had too many bad experiences from even tiny amounts. To me BD feels like taking a Xanax. It's just mildly-sedating without being panic inducing, and when I vape at the sign of a migraine, it will take it away. Sometimes it takes a few hours, but it almost always works (when it doesn't work, I bring out a bigger gun like Purple Arrow). BD made me realize that clear hybrids might be the best choice to deal with my issues and I've focused on them ever since. Note that the grower makes a huge difference (as always). First time I had it was from a very reputable grower but I guess it was a bad batch because I got no benefit from it. Later i saw Phat Panda had some BD (I've always experienced great product from them) and I tried it - totally different positive experience. After that, I wanted to start stock piling it!",5,blue-dream,0.18471380471380475,0.4846464646464646,True,False,False,0.2862514847268811,0.0032218850323931887,0.8332623357243888,0.1861067113060404,0.9801197103806666,108,True,0.6498499741501587,0.1886558238046006,True,False,inflamation_insomnia,False
4,HighGradeHealth,Blue Dream is a favorite for my patients who suffer from anxiety or are looking for a way to stay relaxed yet focused while being productive.  Motivated and relaxed.,5,blue-dream,0.25,0.55,True,False,False,0.2862514847268811,0.0032218850323931887,0.8332623357243888,0.1861067113060404,0.9801197103806666,155,True,0.3809397628428567,0.0037829289643598776,False,True,cramps,False
5,StukaFox,"Not too many people know this, but back during the Stone Age cavemen had hella kind buds! The stuff grew everywhere and it was really potent because it was fertilized   with dinosaur poop. See, they used to feed a Brontosaurus bean and cheese burritos until it was stuffed, then they ran like hell before the deluge hit. The problem    was they only had one pipe and they lost it at a King Crimson concert and smoking out of an apple was way too ghetto. So despite all that great weed, Neanderthal Man   never got to take a giant sucking tornado hit of Caveman Kush. One day, after years of looking fruitlessly for an aluminum can, they all just said 'fuck it' and   died. That's what happened to Neanderthal Man. They never tell you this kinda shit at the museum, but you know how -I- know? Blue Dream. I took a big ol' leather-  lungs hit of Blue Dream and all that stuff came to me like the revealed truth. I also discovered Fritos are yummy and Kyuss is stony. That's THREE Nobel-Level   discoveries off one hit of Blue Dream. Leafly tells me Blue Dream is great for &quot;novice and veteran consumers&quot; but I dunno. After this shit crow-barred open my Third   Eye (not THAT eye, you perv!), I'm pretty sure novice &quot;consumers&quot; might find themselves revealing H.P. Lovecraft-esque truths and go mad, while the veteran   &quot;consumers&quot; point at them and laugh hysterically about what a bunch of lightweights they are. All I know is that I'm all about this Dora the Explorer shit that Blue   Dream engender and so it's time for another hit or three! See you in Oslo!",5,blue-dream,0.060185185185185196,0.49958847736625506,True,False,False,0.2862514847268811,0.0032218850323931887,0.8332623357243888,0.1861067113060404,0.9801197103806666,126,True,0.622754359813444,0.007455268679601135,True,False,stress,True
6,CornBreadCollardGreens,"Incredible strain, especially for wanting to get activities and responsibilities done. It provides a very energetic &amp; alert high that will give you an adventurous demeanor. Two dabs of blue dream cake badder had me cleaning my kitchen and room while listening to some of the finest cannabis friendly music. A great smoke for the person who wants to get out or just get up to get some shit done!",5,blue-dream,0.33849999999999997,0.6239999999999999,True,False,False,0.2862514847268811,0.0032218850323931887,0.8332623357243888,0.1861067113060404,0.9801197103806666,3,True,0.06834458019434275,0.01440866210881846,False,True,depression,False
7,BakedBuffalo,"Finally, I've gotten to try Blue Dream. This is a highly touted sativa-dominant hybrid that does not fail to live up to it's hype.  Right off the bat I've got to say, this is one of the best strains I have ever smoked. Absolutely phenomenal in nearly every aspect. Top 5 strain all time for me.  Now, to the characteristics.. The buds were absolutely covered in trichomes inside and out, nice to look at. The smell of this bud is simply amazing, it has a very strong blueberry smell and the taste is similar, but subdued a bit in comparison. The high is simply top notch, where awesome uplifting sativa effects mix with a calm relaxation make this strain one of the best. Medically, this strain is effective against anxiety, depression, and stress; I'm sure there are more, but that's what I use this strain for and it does a great job.  Simply put, If you have a chance to try this strain - do so, you will not be disappointed. Highly recommended. Nearly perfect strain with solid genetics.",5,blue-dream,0.35551370851370856,0.5868359788359789,True,False,False,0.2862514847268811,0.0032218850323931887,0.8332623357243888,0.1861067113060404,0.9801197103806666,145,False,0.2975186022328946,0.12846459432658078,True,False,seizures,False
8,BakedBuffalo,"Finally, I've gotten to try Blue Dream. This is a highly touted sativa-dominant hybrid that does not fail to live up to it's hype.  Right off the bat I've got to say, this is one of the best strains I have ever smoked. Absolutely phenomenal in nearly every aspect. Top 5 strain all time for me.  Now, to the characteristics.. The buds were absolutely covered in trichomes inside and out, nice to look at. The smell of this bud is simply amazing, it has a very strong blueberry smell and the taste is similar, but subdued a bit in comparison. The high is simply top notch, where awesome uplifting sativa effects mix with a calm relaxation make this strain one of the best. Medically, this strain is effective against anxiety, depression, and stress; I'm sure there are more, but that's what I use this strain for and it does a great job.  Simply put, If you have a chance to try this strain - do so, you will not be disappointed. Highly recommended. Nearly perfect strain with solid genetics.",5,blue-dream,0.35551370851370856,0.5868359788359789,True,False,False,0.2862514847268811,0.0032218850323931887,0.8332623357243888,0.1861067113060404,0.9801197103806666,70,True,0.3832065364194551,0.1576762527066744,True,False,stress,True
9,Tsnky53,"Blue dream is definitely a strain that will quickly make it to your favorites list! With that being said, this strain can be used during both day and night. I noticed that if you smoke a little bit, you'll get more sativa effects and If you smoke a good bit, the indica effects take over. This strain is great for pain, stress/anxiety, appetite issues, sleep issues and much more! No matter how much you smoke, you'll feel great and euphoric! I always have to pick this up when I find some! Great strain 4/5! :)",4,blue-dream,0.4041666666666666,0.5136363636363637,True,False,False,0.2862514847268811,0.0032218850323931887,0.8332623357243888,0.1861067113060404,0.9801197103806666,113,False,0.9076511132102336,0.16690221156732205,True,False,fatigue_headaches,True
